id_sesion,fecha,spot,altura_ola_m,periodo_s,direccion_swell,viento_kmh,direccion_viento,marea,temp_agua,num_surfistas,valoracion,buena_sesion
S100806,2023-11-23,SOMO,1.18,16.9,273,13.1,NW,baja,18.5,33,4,No
S100875,2023-06-18,Somo,1.79,5.3,317,9.5,,media,16.6,27,4,No
S100206,2024-05-28,Pantin,1.7,12.8,332,28.8,S,baja,18.2,19,4,Yes
S101506,2023-01-21,Rodiles,1.78,9.0,326,13.9,N,alta,15.2,25,3,No
S101520,2023-01-15,Rodiles ,0.57,7.7,354,17.3,N,baja,21.5,15,3,No
S101580,2022-09-13,ZARAUTZ,0.65,12.1,268,22.5,S,alta,21.2,16,3,Yes
S101412,2024-04-17,Zarautz,2.3,11.1,274,,S,alta,17.5,30,4,No
S100861,2024-01-20,Rodiles,1.88,11.9,259,7.3,W,alta,20.3,19,4,No
S101469,2023-01-29,Mundaka,3.29,12.7,345,35.4,W,media,14.4,32,3,No
S101759,2023-09-12,Somo,1.29,13.8,304,12.1,S,alta,12.5,29,4,Yes
S100857,2024-12-10,Mundaka,0.95,9.4,296,23.4,NW,alta,17.6,20,3,No
S101734,2022-09-05,Rodiles,1.69,11.6,325,4.7,W,media,20.2,21,4,Yes
S100423,2024-05-24,Somo,0.91,5.3,341,35.9,W,baja,11.5,25,3,No
S101450,2024-08-01,Zarautz,1.02,5.2,318,26.5,E,media,18.1,23,3,No
S101923,2022-12-26,Sopela,1.31,10.2,292,4.1,S,media,18.5,23,4,Yes
S101647,2022-09-28,Somo,0.97,13.8,351,23.8,W,alta,15.9,27,4,No
S100340,2023-05-26,somo,0.77,10.5,269,4.5,SE,baja,19.0,17,3,No
S101635,2023-05-10,Somo,0.77,11.8,306,18.8,NW,baja,19.6,19,4,No
S101573,2025-01-12,Pantin,1.83,11.1,263,17.2,N,media,14.0,16,3,No
S100172,2024-12-15,Pantin,0.68,11.8,325,9.9,SW,alta,15.4,26,4,Yes
S100330,2022-10-29,Somo,1.74,8.8,277,20.0,SE,baja,20.5,21,4,No
S100262,2023-03-30,Zarautz,0.97,9.5,320,2.4,,baja,20.0,21,3,No
S101077,2023-01-18,Mundaka ,1.04,8.7,346,6.5,SW,alta,18.0,22,4,Yes
S100540,2024-12-23,Pantin,1.25,11.0,287,13.5,S,media,19.2,24,4,No
S100810,2024-09-04,Mundaka,0.27,12.1,267,8.9,NE,media,19.1,19,4,No
S100002,2024-03-30,somo,0.77,10.4,251,13.4,E,alta,15.6,22,4,Yes
S101553,2024-05-27,Somo,0.87,7.7,270,16.2,NW,baja,19.8,28,4,No
S100350,2023-07-05,Somo,1.99,10.8,288,,NW,baja,19.2,15,3,No
S100501,2025-01-22,Somo,1.7,12.8,339,10.0,SW,alta,19.5,23,4,No
S100961,2023-10-03,Sopela,1.88,10.8,317,8.3,W,alta,19.4,23,4,No
S101288,2023-09-30,Mundaka ,0.21,15.4,352,14.7,S,media,23.0,8,4,Yes
S100463,2022-12-10,Sopela,0.78,10.1,325,9.7,N,baja,18.3,19,4,No
S100217,2023-02-16,Mundaka,1.14,6.1,295,4.2,NE,alta,14.5,20,4,No
S101522,2023-11-04,Zarautz,1.24,8.8,279,4.8,N,alta,20.4,15,3,No
S100328,2022-11-09,Mundaka,1.44,14.4,309,42.5,SE,baja,18.3,18,4,Yes
S101637,2024-05-10,Somo ,1.03,18.1,354,13.7,N,alta,15.9,16,4,Yes
